Citation,License Plate/Vin,Fine,Issued,CitationText,Unpaid,Officer,Residence,IssuedDate,IssuedTime
P1-00000,OR CU07500,0.0,"Jan 11, 2012 03:51 PM",,False,1,OR,2012-01-11,03:51 PM
P1-00001,AL 1235678,0.0,"Jun 01, 2010 12:02 PM",,False,1,AL,2010-06-01,12:02 PM
P1-00002,AL 12345678,0.0,"Jun 01, 2010 12:09 PM",,False,1,AL,2010-06-01,12:09 PM
P1-00003,UT A335BL,0.0,"Jun 01, 2010 12:29 PM",,False,1,UT,2010-06-01,12:29 PM
P1-00004,UT A335BL,20.0,"Jun 01, 2010 12:30 PM",,False,1,UT,2010-06-01,12:30 PM
P1-00005,UT B151EA,20.0,"Jun 01, 2010 12:33 PM",,False,1,UT,2010-06-01,12:33 PM
P1-00006,UT Z547RN,14.0,"Jun 01, 2010 12:54 PM",,False,1,UT,2010-06-01,12:54 PM
P1-00007,UT A982NR,20.0,"Jun 01, 2010 01:28 PM",,False,1,UT,2010-06-01,01:28 PM
P1-00008,UT Z907GY,20.0,"Jun 01, 2010 01:30 PM",,False,1,UT,2010-06-01,01:30 PM
P1-00009,HI JPY410,20.0,"Jun 01, 2010 02:31 PM",,False,1,HI,2010-06-01,02:31 PM
P1-00010,UT 182MXZ,0.0,"Jun 01, 2010 02:37 PM",,False,1,UT,2010-06-01,02:37 PM
P1-00011,UT Z607PV,20.0,"Jun 01, 2010 02:47 PM",,False,1,UT,2010-06-01,02:47 PM
P1-00012,UT A328TC,30.0,"Jun 03, 2010 10:15 AM",,False,1,UT,2010-06-03,10:15 AM
P1-00013,UT 360LMZ,18.0,"Jun 03, 2010 01:28 PM",,False,1,UT,2010-06-03,01:28 PM
P1-00014,AZ BZZ38,0.0,"Jun 03, 2010 01:33 PM",,False,1,AZ,2010-06-03,01:33 PM
P1-00016,UT B102CS,10.0,"Jun 03, 2010 01:44 PM",,False,1,UT,2010-06-03,01:44 PM
P1-00017,UT MAMAJ,20.0,"Jun 03, 2010 02:09 PM",,False,1,UT,2010-06-03,02:09 PM
P1-00018,UT 203XNJ,30.0,"Jun 03, 2010 02:20 PM",,False,1,UT,2010-06-03,02:20 PM
P1-00019,AZ ABD4545,15.0,"Jun 03, 2010 02:26 PM",,False,1,AZ,2010-06-03,02:26 PM
P1-00020,UT Z78FL,0.0,"Jun 03, 2010 02:56 PM",,False,1,UT,2010-06-03,02:56 PM
P1-00021,UT B168GV,20.0,"Jun 03, 2010 03:03 PM",,False,1,UT,2010-06-03,03:03 PM
P1-00022,UT B155KH,12.0,"Jun 03, 2010 03:06 PM",,False,1,UT,2010-06-03,03:06 PM
P1-00023,UT A77WA,0.0,"Jun 03, 2010 03:15 PM",,False,1,UT,2010-06-03,03:15 PM
P1-00024,LA W897226,20.0,"Jun 03, 2010 03:18 PM",,False,1,LA,2010-06-03,03:18 PM
P1-00025,UT Z723MV,20.0,"Jun 03, 2010 03:20 PM",,False,1,UT,2010-06-03,03:20 PM
P1-00026,TX 380CKX,20.0,"Jun 03, 2010 03:23 PM",,False,1,TX,2010-06-03,03:23 PM
P1-00027,UT A581UA,30.0,"Jun 03, 2010 03:25 PM",,False,1,UT,2010-06-03,03:25 PM
P1-00028,UT 879JBU,0.0,"Jun 03, 2010 03:26 PM",,False,1,UT,2010-06-03,03:26 PM
P1-00029,UT Z471MA,20.0,"Jun 03, 2010 03:29 PM",,False,1,UT,2010-06-03,03:29 PM
P1-00030,OR 201DAE,20.0,"Jun 03, 2010 03:30 PM",,False,1,OR,2010-06-03,03:30 PM
P1-00031,UT Z008KT,10.0,"Jun 08, 2010 11:04 AM",,False,1,UT,2010-06-08,11:04 AM
P1-00032,UT 628UXY,0.0,"Jun 08, 2010 12:25 PM",,False,1,UT,2010-06-08,12:25 PM
P1-00033,UT 628UXY,0.0,"Jun 08, 2010 12:27 PM",,False,1,UT,2010-06-08,12:27 PM
P1-00034,UT 009NHU,20.0,"Jun 08, 2010 12:36 PM",,False,1,UT,2010-06-08,12:36 PM
P1-00035,UT 687JN,20.0,"Jun 08, 2010 01:00 PM",,False,1,UT,2010-06-08,01:00 PM
P1-00036,UT AG05832,0.0,"Jun 08, 2010 01:23 PM",,False,1,UT,2010-06-08,01:23 PM
P1-00037,UT AG05832,0.0,"Jun 08, 2010 01:27 PM",,False,1,UT,2010-06-08,01:27 PM
P1-00038,UT AG05832,20.0,"Jun 08, 2010 01:29 PM",,False,1,UT,2010-06-08,01:29 PM
P1-00039,UT A296T,20.0,"Jun 08, 2010 01:43 PM",,False,1,UT,2010-06-08,01:43 PM
P1-00040,UT 991WFA,0.0,"Jun 08, 2010 01:56 PM",,False,1,UT,2010-06-08,01:56 PM
P1-00041,UT A548EU,20.0,"Jun 08, 2010 01:59 PM",,False,1,UT,2010-06-08,01:59 PM
P1-00042,AL Z172VL,0.0,"Jun 08, 2010 02:06 PM",,False,1,AL,2010-06-08,02:06 PM
P1-00043,UT Z172VL,0.0,"Jun 08, 2010 02:07 PM",,False,1,UT,2010-06-08,02:07 PM
P1-00044,AB SPY242,20.0,"Jun 08, 2010 02:16 PM",,False,1,AB,2010-06-08,02:16 PM
P1-00045,UT A04GN,30.0,"Jun 08, 2010 02:51 PM",APPEAL TIME LIMIT EXPIRED,True,1,UT,2010-06-08,02:51 PM
P1-00046,UT 3045Z,10.0,"Jun 08, 2010 02:53 PM",,False,1,UT,2010-06-08,02:53 PM
P1-00047,UT 393UXG,20.0,"Jun 08, 2010 02:58 PM",,False,1,UT,2010-06-08,02:58 PM
P1-00048,UT 929UXT,20.0,"Jun 08, 2010 03:03 PM",,False,1,UT,2010-06-08,03:03 PM
P1-00049,UT 991WFA,30.0,"Jun 08, 2010 03:17 PM",,False,1,UT,2010-06-08,03:17 PM
P1-00050,AL 5KTB547,0.0,"Jun 08, 2010 03:21 PM",,False,1,AL,2010-06-08,03:21 PM
P1-00051,CA 5KTB547,0.0,"Jun 08, 2010 03:23 PM",,False,1,CA,2010-06-08,03:23 PM
P1-00052,CA 5KTB547,20.0,"Jun 08, 2010 03:25 PM",APPEAL TIME LIMIT EXPIRED,True,1,CA,2010-06-08,03:25 PM
P1-00053,UT 758UUN,20.0,"Jun 09, 2010 09:14 AM",,False,1,UT,2010-06-09,09:14 AM
P1-00054,UT JONDC,0.0,"Jun 09, 2010 09:22 AM",,False,1,UT,2010-06-09,09:22 AM
P1-00055,WA B49617B,0.0,"Jun 09, 2010 12:22 PM",,False,1,WA,2010-06-09,12:22 PM
P1-00056,UT A763ZF,0.0,"Jun 09, 2010 12:53 PM",,False,1,UT,2010-06-09,12:53 PM
P1-00057,UT Z172VL,0.0,"Jun 09, 2010 01:03 PM",,False,1,UT,2010-06-09,01:03 PM
P1-00058,UT Z982LJ,0.0,"Jun 09, 2010 01:05 PM",,False,1,UT,2010-06-09,01:05 PM
P1-00059,UT A950HR,10.0,"Jun 09, 2010 01:11 PM",,False,1,UT,2010-06-09,01:11 PM
P1-00060,UT 214UFP,30.0,"Jun 09, 2010 01:14 PM",,False,1,UT,2010-06-09,01:14 PM
P1-00061,UT A073CG,0.0,"Jun 09, 2010 01:16 PM",,False,1,UT,2010-06-09,01:16 PM
P1-00062,UT 026PJA,0.0,"Jun 09, 2010 01:19 PM",,False,1,UT,2010-06-09,01:19 PM
P1-00064,UT 441UDM,30.0,"Jun 11, 2010 01:14 PM",,False,1,UT,2010-06-11,01:14 PM
P1-00065,UT A283HS,30.0,"Jun 11, 2010 01:23 PM",,False,1,UT,2010-06-11,01:23 PM
P1-00066,UT AG40043,0.0,"Jun 11, 2010 01:29 PM",,False,1,UT,2010-06-11,01:29 PM
P1-00067,FO VYT1834,20.0,"Jun 11, 2010 02:15 PM",,False,1,FO,2010-06-11,02:15 PM
P1-00068,UT 090XZG,20.0,"Jun 11, 2010 02:19 PM",,False,1,UT,2010-06-11,02:19 PM
P1-00069,UT B018DW,0.0,"Jun 11, 2010 02:21 PM",,False,1,UT,2010-06-11,02:21 PM
P1-00070,UT B018DW,20.0,"Jun 11, 2010 02:23 PM",,False,1,UT,2010-06-11,02:23 PM
P1-00071,UT B038KG,10.0,"Jun 11, 2010 02:32 PM",,False,1,UT,2010-06-11,02:32 PM
P1-00072,CA 6DCK620,0.0,"Jun 11, 2010 02:34 PM",,False,1,CA,2010-06-11,02:34 PM
P1-00073,UT 483VAP,30.0,"Jun 14, 2010 01:04 PM",,False,1,UT,2010-06-14,01:04 PM
P1-00074,UT Z242GZ,0.0,"Jun 14, 2010 01:55 PM",,False,1,UT,2010-06-14,01:55 PM
P1-00075,UT A003PG,30.0,"Jun 14, 2010 02:42 PM",APPEAL TIME LIMIT EXPIRED,True,1,UT,2010-06-14,02:42 PM
P1-00076,UT TEST3,0.0,"Jun 15, 2010 08:21 AM",,False,1,UT,2010-06-15,08:21 AM
P1-00077,UT Z107KS,10.0,"Jun 15, 2010 10:30 AM",,False,1,UT,2010-06-15,10:30 AM
P1-00078,OR 839CYW,0.0,"Jun 15, 2010 10:36 AM",,False,1,OR,2010-06-15,10:36 AM
P1-00079,WA 859TZH,0.0,"Jun 15, 2010 12:23 PM",,False,1,WA,2010-06-15,12:23 PM
P1-00080,UT A436TD,0.0,"Jun 15, 2010 12:26 PM",,False,1,UT,2010-06-15,12:26 PM
P1-00081,UT A548RZ,0.0,"Jun 15, 2010 12:38 PM",,False,1,UT,2010-06-15,12:38 PM
P1-00082,UT Z725TP,30.0,"Jun 15, 2010 01:55 PM",,False,1,UT,2010-06-15,01:55 PM
P1-00083,UT B742JA,30.0,"Jun 15, 2010 01:57 PM",,False,1,UT,2010-06-15,01:57 PM
P1-00084,UT 987UUH,30.0,"Jun 15, 2010 02:01 PM",,False,1,UT,2010-06-15,02:01 PM
P1-00085,UT A786SZ,0.0,"Jun 15, 2010 02:03 PM",,False,1,UT,2010-06-15,02:03 PM
P1-00086,UT A786SZ,0.0,"Jun 15, 2010 02:05 PM",,False,1,UT,2010-06-15,02:05 PM
P1-00087,AZ SKIBA,30.0,"Jun 16, 2010 01:12 PM",,False,1,AZ,2010-06-16,01:12 PM
P1-00088,UT 941UXL,20.0,"Jun 16, 2010 01:16 PM",,False,1,UT,2010-06-16,01:16 PM
