Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,,,,.100,.000,.000,.000,.100,.100,.100,.200,.100
2,,,,.100,.000,.000,.000,.000,.100,.100,.200,.000
3,,,,.200,.000,.000,.000,.000,.100,.200,.100,.100
4,,,,.200,.000,.000,.000,.100,.200,.200,.100,.300
5,,,,.200,.100,.000,.000,.100,.200,.200,.200,.500
6,,,,.200,.100,.000,.200,.100,.100,.200,.200,.500
7,,,,.100,.000,.000,.000,.100,.100,.200,.200,.400
8,,,,.100,.000,.100,.000,.000,.100,.200,.200,.400
9,,,,.100,.000,.200,.000,.100,.100,.200,.300,.400
10,,,,.200,.000,.100,.000,.300,.100,.200,.300,.400
11,,,,.200,.000,.100,.000,.200,.100,.200,.100,.400
12,,,,.200,.000,.100,.000,.100,.100,.200,.200,.200
13,,,,.100,.000,.100,.000,.000,.100,.200,.300,.400
14,,,,.100,.000,.100,.000,.200,.200,.100,.300,.400
15,,,,.100,.000,.100,.000,.200,.400,.300,.300,.400
16,,,,.100,.000,.100,.000,.200,.000,.300,.300,.300
17,,,,.000,.000,.100,.000,.100,.200,.200,.200,.400
18,,,,.200,.000,.000,.000,.200,.200,.200,.300,.500
19,,,,.100,.000,.000,.000,.200,.200,.200,.300,.300
20,,,,.100,.000,.000,.000,.200,.100,.200,.300,.400
21,,,.200,.100,.000,.100,.000,.100,.200,.200,.500,.400
22,,,.100,.100,.000,.000,.000,.000,.300,.200,.500,.300
23,,,.100,.000,.000,.000,.000,.300,.000,.200,.000,.400
24,,,.200,.100,.000,.000,.000,.300,.100,.200,.000,.500
25,,,.200,.100,.000,.000,.000,.000,.100,.200,.200,.300
26,,,.200,.100,.000,.100,.000,.000,.100,.300,.300,.200
27,,,.300,.100,.000,.100,.000,.200,.200,.300,.400,.200
28,,,.200,.000,.000,.000,.000,.100,.200,.300,.400,.200
29,,,.200,.100,.000,.000,.000,.100,.100,.100,.200,.200
30,,,.200,.000,.000,.000,.000,.100,.000,.200,.100,.200
31,,,.200,,.000,,.100,.100,,.200,,.100
