JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
54.0,32.0,29.0,25.0,62.0,17.0,25.0,,26.0,18.0,8.0,38.0
52.0,25.0,30.0,32.0,37.0,25.0,19.0,20.0,29.0,27.0,7.0,36.0
48.0,39.0,34.0,33.0,30.0,16.0,25.0,15.0,38.0,34.0,32.0,33.0
46.0,38.0,40.0,51.0,20.0,28.0,35.0,18.0,28.0,26.0,39.0,32.0
53.0,45.0,41.0,24.0,53.0,22.0,23.0,23.0,23.0,20.0,38.0,37.0
47.0,37.0,38.0,28.0,32.0,23.0,16.0,23.0,26.0,33.0,38.0,31.0
47.0,30.0,32.0,29.0,18.0,20.0,28.0,19.0,14.0,30.0,33.0,29.0
48.0,20.0,37.0,33.0,22.0,16.0,36.0,18.0,26.0,27.0,36.0,41.0
42.0,28.0,36.0,36.0,29.0,20.0,27.0,17.0,22.0,40.0,27.0,48.0
46.0,36.0,38.0,27.0,18.0,30.0,16.0,18.0,24.0,42.0,34.0,55.0
40.0,48.0,35.0,33.0,10.0,26.0,19.0,23.0,31.0,30.0,35.0,40.0
31.0,42.0,44.0,27.0,27.0,29.0,20.0,23.0,29.0,20.0,16.0,38.0
49.0,35.0,51.0,13.0,34.0,26.0,18.0,27.0,27.0,28.0,29.0,19.0
46.0,35.0,47.0,38.0,31.0,19.0,24.0,26.0,26.0,33.0,33.0,27.0
54.0,31.0,38.0,54.0,27.0,15.0,27.0,22.0,29.0,,31.0,36.0
48.0,30.0,38.0,28.0,32.0,28.0,20.0,24.0,34.0,,35.0,53.0
58.0,40.0,49.0,39.0,24.0,14.0,29.0,17.0,29.0,39.0,41.0,67.0
48.0,45.0,32.0,45.0,19.0,22.0,31.0,27.0,28.0,34.0,59.0,34.0
46.0,40.0,71.0,31.0,36.0,21.0,22.0,19.0,,39.0,48.0,38.0
52.0,39.0,48.0,26.0,26.0,21.0,18.0,21.0,,25.0,42.0,35.0
81.0,42.0,40.0,35.0,25.0,20.0,25.0,28.0,,41.0,41.0,28.0
88.0,41.0,42.0,43.0,31.0,26.0,29.0,23.0,,38.0,33.0,33.0
78.0,36.0,32.0,33.0,28.0,24.0,,19.0,21.0,32.0,26.0,37.0
53.0,44.0,58.0,43.0,20.0,30.0,,13.0,24.0,31.0,35.0,38.0
50.0,64.0,45.0,31.0,19.0,26.0,,28.0,34.0,21.0,50.0,16.0
51.0,35.0,30.0,21.0,17.0,23.0,,36.0,27.0,9.0,35.0,30.0
54.0,35.0,24.0,20.0,51.0,19.0,,23.0,18.0,30.0,32.0,40.0
52.0,45.0,34.0,25.0,31.0,24.0,,20.0,14.0,34.0,35.0,41.0
52.0,,32.0,37.0,23.0,30.0,,27.0,23.0,39.0,18.0,37.0
36.0,,13.0,40.0,27.0,25.0,,21.0,26.0,37.0,22.0,35.0
31.0,,40.0,,14.0,,,15.0,,45.0,,43.0
