Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,30.4,42.5,20.5,26.9,15.5,5.7,9.7,8.9,6.5,19.8,32.7,21.9
2,33.1,26.2,21.3,18.7,21.1,5.0,9.7,12.1,7.5,15.1,26.1,39.5
3,39.2,4.3,17.7,16.8,18.9,7.7,9.2,10.1,21.8,23.7,24.5,37.1
4,42.1,7.2,20.0,15.5,10.6,9.2,8.6,5.6,12.4,5.2,36.4,44.5
5,39.2,8.5,26.1,30.7,6.9,11.4,18.5,11.3,11.8,10.0,33.3,33.8
6,20.3,18.6,13.5,11.7,17.2,11.9,8.5,11.3,11.7,11.4,27.7,
7,35.7,33.6,20.2,15.5,22.6,8.0,4.1,20.5,11.4,34.2,32.4,19.8
8,36.1,40.8,18.8,21.5,12.1,5.3,8.9,15.1,8.2,21.7,34.3,22.1
9,31.6,36.8,16.6,13.7,14.7,8.1,13.2,10.5,14.3,7.8,32.5,29.2
10,38.0,7.6,12.5,4.8,13.7,12.1,9.5,8.2,18.8,11.0,25.3,28.9
11,33.8,31.5,21.2,8.9,10.8,12.8,11.0,3.9,10.0,25.3,28.8,31.9
12,29.3,44.4,,12.3,8.5,12.5,9.8,10.4,14.0,28.3,37.8,29.8
13,31.4,5.1,7.1,13.8,15.0,8.9,9.4,12.2,15.2,19.5,29.4,24.0
14,41.1,31.3,27.2,17.1,12.9,10.5,5.1,15.0,16.2,28.3,37.5,18.4
15,38.7,6.0,36.6,24.3,16.3,9.2,14.8,14.5,8.7,30.4,31.0,18.7
16,31.3,9.9,29.4,11.3,10.7,7.0,11.3,13.2,20.1,27.9,22.4,21.8
17,29.2,24.5,26.8,21.7,6.1,6.1,,7.6,12.1,14.7,22.0,31.0
18,24.2,18.9,39.4,18.2,9.6,6.2,6.8,6.8,16.2,16.3,39.3,38.0
19,28.7,17.2,32.5,20.8,6.3,10.3,10.5,11.1,15.9,17.6,26.5,39.6
20,22.9,7.2,32.9,13.5,12.4,6.8,11.3,14.3,9.6,11.8,30.5,37.4
21,19.3,22.2,9.2,5.7,6.4,5.9,7.0,15.1,10.5,20.0,15.8,29.5
22,29.0,15.3,19.4,9.7,8.0,5.6,11.0,19.3,11.3,21.0,25.6,27.4
23,41.6,23.0,13.9,14.5,10.0,4.7,10.1,14.1,15.9,21.8,22.1,36.5
24,40.8,29.0,15.8,17.7,13.3,10.7,11.2,9.4,17.5,23.3,23.8,17.8
25,37.5,9.2,29.5,12.6,7.8,9.3,9.5,9.5,16.2,25.9,26.8,21.3
26,33.2,11.6,34.6,10.1,6.7,4.9,9.4,13.1,14.8,17.7,19.6,21.2
27,31.7,21.7,36.9,12.7,5.2,4.6,7.3,16.3,9.2,8.4,28.1,25.5
28,35.7,27.6,13.0,9.2,7.4,29.5,8.6,19.3,6.6,28.7,27.1,16.2
29,41.6,,26.4,11.3,10.4,10.0,12.0,15.8,6.3,9.8,17.4,17.2
30,40.4,,13.8,16.0,9.4,7.3,11.7,13.2,16.6,26.5,21.2,25.7
31,40.7,,17.2,,9.9,,26.6,8.1,,28.5,,20.5
