Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,.030,.028,.039,.053,.046,.062,.053,.062,.048,.047,.033,.015
2,.031,.035,.038,.051,.049,.069,.055,.042,.057,.056,.032,.016
3,.012,.042,.045,.051,.044,.063,.062,.068,.062,.050,.025,.013
4,.032,.036,.043,.053,.052,.068,.058,.065,.064,.043,.034,.018
5,.037,.037,.041,.049,.059,.051,.059,.063,.063,.036,.026,.031
6,.024,.039,.046,.042,.056,.059,.066,.057,.063,.039,.044,.010
7,.021,.043,.049,.051,.053,.055,.061,P .081,.065,.037,.035,.027
8,.019,.039,.049,.049,.053,.056,.063,P .078,P .071,.034,.026,.032
9,.027,.039,.043,.054,.050,.050,P .071,.061,.056,.037,.036,.036
10,.032,.036,.047,.051,.048,.052,P .077,P .071,.053,.039,.040,.034
11,.021,.036,.044,.060,.052,.064,P .074,.063,.049,.038,.025,.028
12,.017,.032,.046,.058,.052,.058,.069,.058,.048,.022,.027,.029
13,.034,.031,.036,.047,.061,.061,.055,.068,.056,.034,.022,.034
14,.034,.034,.044,.044,.054,.046,.059,.066,.067,.037,.021,.045
15,.024,.039,.047,.039,.064,.054,.063,.066,.058,.038,.026,.038
16,.028,.038,.045,.039,.055,.066,.065,P .072,.057,.034,.036,.043
17,.029,.040,.045,.048,.051,P .080,.065,.056,.055,.043,.030,.035
18,.032,.039,.048,.051,.055,.066,.067,.045,.044,.046,.020,.030
19,.032,.039,.046,.047,.056,.060,.058,,.045,.034,.009,.026
20,.019,.042,.039,.050,.053,.052,.059,.058,.043,.037,.032,.020
21,.020,.041,.046,.047,.054,.067,.059,.050,.047,.036,.027,.017
22,.035,.039,.044,.056,.058,.060,.057,.054,.045,.041,.019,.025
23,.039,.043,.040,.055,.046,.056,.066,.057,.049,.036,.037,.038
24,.032,.042,.044,.052,.049,.046,P .077,.061,.055,.034,.034,.040
25,.031,.041,.042,.043,.050,.052,P .076,.050,.050,.041,.028,.041
26,.038,.043,.039,.041,.051,.058,.069,.059,.052,.033,.023,.041
27,.035,.042,.046,.043,.053,.054,.058,.067,.045,.033,.018,.040
28,.035,.041,.046,.050,.060,.054,.059,.070,.041,.028,.022,.032
29,.039,,.052,.058,.058,.052,P .074,.068,.038,.022,.016,.040
30,.037,,.048,.054,.058,.051,.064,.057,.041,.022,.010,.036
31,.038,,.050,,.059,,.063,.054,,.037,,
