Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,8,9,33,10,11,11,15,16,34,12,15,16
2,11,11,31,13,20,16,14,15,34,16,9,15
3,24,15,16,16,9,18,25,26,24,24,8,22
4,,26,29,19,7,29,24,27,23,27,8,15
5,9,17,5,33,11,14,17,22,31,25,3,4
6,6,14,5,10,40,18,26,13,36,25,4,10
7,10,30,10,20,69,22,22,11,42,31,17,22
8,5,31,7,18,47,29,27,27,56,,8,17
9,8,33,4,46,15,34,29,28,54,,3,16
10,29,29,14,9,19,33,20,26,55,,4,21
11,36,25,8,65,27,24,37,21,42,,15,4
12,38,13,10,9,6,60,41,16,45,,18,4
13,56,15,6,6,12,35,34,13,13,37,16,7
14,42,15,7,10,14,10,47,6,7,37,14,8
15,33,27,15,12,11,21,26,16,8,28,19,10
16,24,19,11,23,31,25,15,16,9,19,24,14
17,39,18,11,17,37,80,27,17,14,28,25,24
18,50,17,15,26,25,65,29,36,14,36,20,25
19,51,12,14,82,67,57,27,17,12,43,24,39
20,31,10,11,12,13,15,27,9,17,38,22,48
21,15,14,14,121,11,22,41,8,14,28,34,12
22,17,16,15,31,34,,37,17,14,26,43,30
23,19,12,15,6,16,,33,,23,3,30,38
24,30,20,20,5,29,33,21,29,17,7,21,47
25,23,15,22,11,22,19,27,16,15,9,18,46
26,20,11,17,28,22,22,37,17,28,6,21,38
27,26,13,13,38,39,31,49,20,26,10,10,3
28,28,24,15,70,26,37,34,18,28,18,12,3
29,24,,18,25,4,31,23,27,19,19,6,6
30,26,,9,13,3,20,21,33,20,20,16,2
31,37,,9,,7,,15,33,,25,,3
