Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMB
1,28.7,P 59.6,3.6,2.1,3.5,5.6,15.9,7.9,10.9,2.7,7.6,22
2,6.9,11.0,8.7,3.2,4.0,7.6,11.4,9.4,13.9,2.9,5.2,12
3,12.1,9.4,9.9,4.1,4.4,8.0,11.2,11.2,12.9,3.7,3.6,3
4,2.1,4.1,3.0,2.6,5.4,8.0,24.5,11.1,12.7,4.2,3.8,3
5,5.3,3.6,6.5,2.7,5.1,12.2,16.7,9.1,21.6,5.2,2.6,9
6,14.5,2.7,.9,3.2,5.8,12.6,11.1,8.7,28.9,5.3,4.7,16
7,20.5,2.2,2.2,4.1,4.8,9.5,12.3,8.8,11.7,4.1,5.4,14
8,10.0,3.7,3.0,3.5,6.1,8.5,11.7,5.9,9.4,2.8,7.5,17
9,1.7,2.8,3.4,1.4,6.0,13.2,9.5,6.1,8.1,3.7,4.4,16
10,2.0,2.9,4.3,4.4,6.6,8.3,12.1,4.1,7.2,4.5,8.3,14
11,1.4,3.9,3.6,7.4,8.2,12.3,9.7,5.2,8.2,5.6,6.4,21
12,9.3,6.1,2.8,5.5,7.1,14.6,10.9,3.6,7.6,12.6,5.5,28
13,23.0,13.0,3.1,9.1,8.8,4.7,,4.5,5.1,12.2,5.3,31
14,24.2,16.4,5.2,2.2,5.6,7.5,9.4,8.1,2.3,3.5,4.4,25
15,16.1,10.1,4.2,3.0,7.2,8.6,8.5,8.5,8.4,4.9,5.7,23
16,14.9,4.2,4.3,3.9,4.8,7.0,7.8,8.6,13.5,7.0,5.4,18
17,15.5,3.5,5.3,3.8,2.0,6.4,10.2,9.3,10.2,7.4,3.4,6
18,16.4,1.6,5.2,3.3,2.6,5.1,7.8,9.3,9.2,9.7,3.6,12
19,11.1,1.8,4.7,3.1,2.8,6.2,7.9,7.6,4.7,6.9,5.9,11
20,11.1,1.9,8.3,4.2,3.7,8.6,4.9,4.8,4.3,8.5,10.5,4
21,5.7,,5.6,2.7,2.7,10.2,6.7,6.6,3.3,2.3,12.2,4
22,5.4,,3.8,3.5,4.0,8.6,7.7,7.5,2.6,2.8,5.9,7
23,2.0,,1.7,3.7,4.9,6.4,9.3,5.1,5.6,3.7,4.1,4
24,7.0,,5.1,4.0,5.4,7.1,5.8,,1.7,6.6,2.8,5
25,7.9,,2.4,1.3,5.4,6.6,4.6,10.4,3.5,7.2,5.1,20
26,9.8,,2.2,2.2,5.0,7.5,5.2,7.3,5.1,7.0,3.2,17
27,13.8,,2.7,1.9,3.7,9.6,6.0,8.1,5.6,5.6,3.4,18
28,22.8,,3.1,2.4,4.3,9.2,6.3,15.0,5.3,6.5,5.0,14
29,32.4,,3.8,2.2,6.2,8.3,5.3,17.0,5.0,4.3,9.3,11
30,P 45.5,,2.9,2.6,6.2,8.5,5.1,13.1,3.8,5.5,12.3,
31,P 60.4,,2.9,,6.6,,6.6,6.9,,7.0,,
