aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
51,267.2,2023-01-31:07,22.1,45.2,13.0,12.4,1.7,2023-01-31T00:00:00,2023-01-31T07:00:00,1675148400
60,305.3,2023-01-31:06,23.4,43.2,17.0,16.5,1.6,2023-01-30T23:00:00,2023-01-31T06:00:00,1675144800
51,343.5,2023-01-31:05,21.8,45.6,28.0,12.6,1.6,2023-01-30T22:00:00,2023-01-31T05:00:00,1675141200
51,343.5,2023-01-31:04,21.2,47.6,26.0,12.5,1.7,2023-01-30T21:00:00,2023-01-31T04:00:00,1675137600
42,343.5,2023-01-31:03,18.8,52.0,23.0,10.0,1.7,2023-01-30T20:00:00,2023-01-31T03:00:00,1675134000
37,267.2,2023-01-31:02,14.4,60.4,14.0,9.0,2.0,2023-01-30T19:00:00,2023-01-31T02:00:00,1675130400
56,305.3,2023-01-31:01,13.4,62.4,17.0,15.0,1.7,2023-01-30T18:00:00,2023-01-31T01:00:00,1675126800
56,267.2,2023-01-31:00,10.7,66.8,29.0,15.0,1.7,2023-01-30T17:00:00,2023-01-31T00:00:00,1675123200
33,267.2,2023-01-30:23,8.1,70.4,21.0,6.7,1.9,2023-01-30T16:00:00,2023-01-30T23:00:00,1675119600
50,267.2,2023-01-30:22,8.0,69.6,19.0,12.0,2.0,2023-01-30T15:00:00,2023-01-30T22:00:00,1675116000
47,267.2,2023-01-30:21,7.8,68.8,27.0,11.2,1.9,2023-01-30T14:00:00,2023-01-30T21:00:00,1675112400
50,267.2,2023-01-30:20,7.8,66.0,28.0,12.0,2.0,2023-01-30T13:00:00,2023-01-30T20:00:00,1675108800
45,267.2,2023-01-30:19,9.0,65.2,22.0,10.7,2.0,2023-01-30T12:00:00,2023-01-30T19:00:00,1675105200
52,343.5,2023-01-30:18,12.3,61.2,26.0,13.0,2.0,2023-01-30T11:00:00,2023-01-30T18:00:00,1675101600
46,343.5,2023-01-30:17,14.1,56.0,17.0,11.1,2.2,2023-01-30T10:00:00,2023-01-30T17:00:00,1675098000
43,343.5,2023-01-30:16,15.4,52.0,15.0,10.3,1.9,2023-01-30T09:00:00,2023-01-30T16:00:00,1675094400
46,419.8,2023-01-30:15,24.5,39.2,14.0,11.0,0.5,2023-01-30T08:00:00,2023-01-30T15:00:00,1675090800
29,419.8,2023-01-30:14,23.9,38.0,17.0,7.0,1.9,2023-01-30T07:00:00,2023-01-30T14:00:00,1675087200
67,400.8,2023-01-30:13,16.2,42.4,11.0,8.25,1.7,2023-01-30T06:00:00,2023-01-30T13:00:00,1675083600
27,229.0,2023-01-30:12,16.1,47.6,20.0,6.5,1.6,2023-01-30T05:00:00,2023-01-30T12:00:00,1675080000
27,229.0,2023-01-30:11,10.4,51.6,16.0,6.5,1.7,2023-01-30T04:00:00,2023-01-30T11:00:00,1675076400
26,229.0,2023-01-30:10,10.9,55.2,19.0,5.0,1.7,2023-01-30T03:00:00,2023-01-30T10:00:00,1675072800
50,229.0,2023-01-30:09,11.7,54.4,27.0,12.0,1.7,2023-01-30T02:00:00,2023-01-30T09:00:00,1675069200
