DATE,CO,NO2,O3,PM10,PM25
2014-01-01,1.6,54.0,0.029,41.0,P 37.3
2014-01-02,1.8,52.0,0.02,19.0,25.0
2014-01-03,1.8,48.0,0.018,47.0,22.9
2014-01-04,1.9,46.0,0.035,28.0,13.3
2014-01-05,1.3,53.0,0.037,32.0,10.3
2014-01-06,1.8,47.0,0.022,51.0,13.7
2014-01-07,1.9,47.0,0.007,47.0,21.0
2014-01-08,0.8,48.0,0.003,73.0,33.9
2014-01-09,0.7,42.0,0.021,30.0,18.0
2014-01-10,1.0,46.0,0.021,30.0,7.9
2014-01-11,1.0,40.0,0.036,,9.1
2014-01-12,0.6,31.0,0.038,,2.5
2014-01-13,0.5,49.0,0.025,,5.4
2014-01-14,1.2,46.0,0.024,,13.2
2014-01-15,1.0,54.0,0.02,,17.7
2014-01-16,1.0,48.0,0.018,,20.5
2014-01-17,0.9,58.0,0.016,,24.3
2014-01-18,0.9,48.0,0.023,,23.6
2014-01-19,0.9,46.0,0.024,,23.4
2014-01-20,0.8,52.0,0.017,,25.5
2014-01-21,0.8,81.0,0.016,,30.0
2014-01-22,0.9,88.0,0.014,,34.9
2014-01-23,1.1,78.0,0.021,,P 43.2
2014-01-24,0.7,53.0,0.025,,17.9
2014-01-25,0.8,50.0,0.026,,19.1
2014-01-26,0.9,51.0,0.031,,17.3
2014-01-27,0.8,54.0,0.016,,21.0
2014-01-28,0.8,52.0,0.029,,25.9
2014-01-29,0.9,52.0,0.032,,11.5
2014-01-30,0.9,36.0,0.028,,5.4
2014-01-31,0.3,31.0,0.026,,10.8
2014-02-01,0.3,32.0,0.035,14.0,9.3
2014-02-02,0.3,25.0,0.038,10.0,5.2
2014-02-03,0.7,39.0,0.033,11.0,6.4
2014-02-04,0.3,38.0,0.034,13.0,5.1
2014-02-05,0.5,45.0,0.026,10.0,8.7
2014-02-06,0.6,37.0,0.032,11.0,10.0
2014-02-07,0.3,30.0,0.04,13.0,5.5
2014-02-08,0.3,20.0,0.039,11.0,3.3
2014-02-09,0.6,28.0,0.032,18.0,3.5
2014-02-10,0.7,36.0,0.025,9.0,8.3
2014-02-11,0.9,48.0,0.03,,7.2
2014-02-12,1.0,42.0,0.021,,7.3
2014-02-13,1.0,35.0,0.022,,4.8
2014-02-14,1.4,35.0,0.009,,7.3
2014-02-15,1.4,31.0,0.005,,7.2
2014-02-16,1.1,30.0,0.037,,2.5
2014-02-17,1.1,40.0,0.022,,6.3
2014-02-18,1.0,45.0,0.035,,5.5
2014-02-19,0.8,40.0,0.04,,2.6
2014-02-20,0.4,39.0,0.041,,1.2
2014-02-21,0.9,42.0,0.041,,4.0
2014-02-22,0.8,41.0,0.039,,3.6
2014-02-23,0.9,36.0,0.042,,2.9
2014-02-24,0.8,44.0,0.043,,3.8
2014-02-25,0.9,64.0,0.037,,4.7
2014-02-26,0.8,35.0,0.034,,3.4
2014-02-27,0.7,35.0,0.03,,3.3
2014-02-28,0.9,45.0,0.031,,4.5
2014-03-01,0.8,29.0,0.045,8.0,1.5
2014-03-02,0.7,30.0,0.045,14.0,2.5
2014-03-03,0.6,34.0,0.045,6.0,2.5
2014-03-04,0.9,40.0,0.028,11.0,5.3
2014-03-05,0.9,41.0,0.036,9.0,5.3
2014-03-06,0.9,38.0,0.04,6.0,4.5
2014-03-07,0.6,32.0,0.039,14.0,2.4
2014-03-08,0.7,37.0,0.044,15.0,3.5
2014-03-09,0.8,36.0,0.046,2.0,2.9
2014-03-10,0.8,38.0,0.044,11.0,4.4
2014-03-11,0.5,35.0,0.038,,2.7
2014-03-12,0.4,44.0,0.042,,4.2
2014-03-13,0.5,51.0,0.045,,4.5
2014-03-14,0.5,47.0,0.045,,4.6
2014-03-15,0.3,38.0,0.05,,3.2
2014-03-16,0.3,38.0,0.049,,2.8
2014-03-17,0.3,49.0,0.046,,4.6
2014-03-18,0.3,32.0,0.036,,3.2
2014-03-19,0.4,71.0,0.046,,3.4
2014-03-20,0.5,48.0,0.043,,3.5
2014-03-21,0.3,40.0,0.039,,5.7
2014-03-22,0.3,42.0,0.051,,4.7
2014-03-23,0.3,32.0,0.054,,4.6
2014-03-24,0.4,58.0,0.052,,6.6
2014-03-25,0.4,45.0,0.05,,6.2
2014-03-26,0.3,30.0,0.044,,3.5
2014-03-27,0.3,24.0,0.043,,1.4
2014-03-28,0.4,34.0,0.047,,2.7
2014-03-29,0.3,32.0,0.049,,3.7
2014-03-30,0.3,13.0,0.051,,4.0
2014-03-31,0.4,40.0,0.043,,2.0
2014-04-01,0.3,25.0,0.049,6.0,3.9
2014-04-02,0.4,32.0,0.045,7.0,3.3
2014-04-03,0.3,33.0,0.05,13.0,4.3
2014-04-04,0.5,51.0,0.048,22.0,3.7
2014-04-05,0.3,24.0,0.047,14.0,2.9
2014-04-06,0.3,28.0,0.043,13.0,4.2
2014-04-07,0.4,29.0,0.049,23.0,5.0
2014-04-08,0.6,33.0,0.044,6.0,5.1
2014-04-09,0.4,36.0,0.047,11.0,5.0
2014-04-10,0.4,27.0,0.055,9.0,5.2
2014-04-11,0.4,33.0,0.053,,7.0
2014-04-12,0.3,27.0,0.05,,5.4
2014-04-13,0.3,13.0,0.043,,3.6
2014-04-14,0.4,38.0,0.05,,4.8
2014-04-15,0.5,54.0,0.05,,4.4
2014-04-16,0.3,28.0,0.058,,3.7
2014-04-17,0.5,39.0,0.054,,4.0
2014-04-18,0.5,45.0,0.049,,5.6
2014-04-19,0.4,31.0,0.053,,6.2
2014-04-20,0.5,26.0,0.059,,6.9
2014-04-21,0.4,35.0,0.058,,8.5
2014-04-22,0.4,43.0,0.055,,14.5
2014-04-23,0.3,33.0,0.047,,4.2
2014-04-24,0.4,43.0,0.051,,3.0
2014-04-25,0.4,31.0,0.058,,11.4
2014-04-26,0.3,21.0,0.041,,3.7
2014-04-27,0.3,20.0,0.048,,2.2
2014-04-28,0.3,25.0,0.05,,2.7
2014-04-29,0.3,37.0,0.051,,5.7
2014-04-30,0.5,40.0,0.056,,5.1
2014-05-01,0.5,62.0,0.043,16.0,4.8
2014-05-02,0.5,37.0,0.056,24.0,4.8
2014-05-03,0.5,30.0,0.052,6.0,5.8
2014-05-04,0.4,20.0,0.058,5.0,7.0
2014-05-05,0.4,53.0,0.055,12.0,6.5
2014-05-06,0.4,32.0,0.054,22.0,8.9
2014-05-07,0.4,18.0,0.058,30.0,3.7
2014-05-08,0.4,22.0,0.048,23.0,2.2
2014-05-09,0.5,29.0,0.046,15.0,3.9
2014-05-10,0.6,18.0,0.052,49.0,4.0
2014-05-11,0.4,10.0,0.049,,1.7
2014-05-12,0.6,27.0,0.047,,2.6
2014-05-13,0.5,34.0,0.051,,3.1
2014-05-14,0.3,31.0,0.053,,4.1
2014-05-15,0.3,27.0,0.054,,4.1
2014-05-16,0.3,32.0,0.054,,6.6
2014-05-17,0.3,24.0,0.054,,6.1
2014-05-18,0.3,19.0,0.061,,7.5
2014-05-19,0.3,36.0,0.055,,7.3
2014-05-20,0.3,26.0,0.056,,7.3
2014-05-21,0.3,25.0,0.055,,6.1
2014-05-22,0.3,31.0,0.055,,8.0
2014-05-23,0.3,28.0,0.039,,6.9
2014-05-24,0.3,20.0,0.047,,5.0
2014-05-25,0.3,19.0,0.059,,7.0
2014-05-26,0.3,17.0,0.055,,6.5
2014-05-27,0.3,51.0,0.055,,6.7
2014-05-28,0.3,31.0,0.053,,9.5
2014-05-29,0.3,23.0,0.051,,9.4
2014-05-30,0.3,27.0,0.053,,7.1
2014-05-31,0.3,14.0,0.055,,7.3
2014-06-01,0.3,17.0,0.061,22.0,5.6
2014-06-02,0.3,25.0,0.067,30.0,6.4
2014-06-03,0.3,16.0,0.063,23.0,7.4
2014-06-04,0.3,28.0,0.066,34.0,9.4
2014-06-05,0.3,22.0,0.066,52.0,7.7
2014-06-06,0.3,23.0,0.055,30.0,5.7
2014-06-07,0.3,20.0,0.064,10.0,7.5
2014-06-08,0.3,16.0,0.046,17.0,8.2
2014-06-09,0.3,20.0,0.058,24.0,5.1
2014-06-10,0.3,30.0,0.056,14.0,12.9
2014-06-11,0.3,26.0,0.06,,10.4
2014-06-12,0.3,29.0,0.063,,14.0
2014-06-13,0.3,26.0,0.065,,17.7
2014-06-14,0.3,19.0,0.041,,4.4
