DATE,PredictedDailyNumFines,DailyNumFines,DailyNumFines_Lead58
2014-01-06,,23.0,45.0
2014-01-07,,52.0,64.0
2014-01-08,,13.0,30.0
2014-01-09,,3.0,0.0
2014-01-10,,16.0,25.0
2014-01-11,,2.0,16.0
2014-01-12,,50.0,46.0
2014-01-13,,49.0,24.0
2014-01-14,,35.0,18.0
2014-01-15,,53.0,16.0
2014-01-16,,30.0,0.0
2014-01-17,,67.0,15.0
2014-01-18,,0.0,58.0
2014-01-19,,23.0,20.0
2014-01-20,,0.0,39.0
2014-01-21,,32.0,19.0
2014-01-22,,69.0,18.0
2014-01-23,,66.0,2.0
2014-01-24,,25.0,25.0
2014-01-25,,3.0,13.0
2014-01-26,,88.0,17.0
2014-01-27,,46.0,38.0
2014-01-28,,80.0,49.0
2014-01-29,,79.0,56.0
2014-01-30,,45.0,0.0
2014-01-31,,97.0,55.0
2014-02-01,,0.0,10.0
2014-02-02,,70.0,5.0
2014-02-03,39.40425711180664,43.0,40.0
2014-02-04,52.71792685707625,55.0,18.0
2014-02-05,44.99869697998119,35.0,23.0
2014-02-06,49.116002361521005,57.0,0.0
2014-02-07,28.82437720763354,19.0,0.0
2014-02-08,1.0427865942071077,0.0,40.0
2014-02-09,16.092658246269647,7.0,17.0
2014-02-10,40.32557044793854,42.0,22.0
2014-02-11,49.951989062952194,48.0,11.0
2014-02-12,32.88594913083862,36.0,22.0
2014-02-13,22.788431699143395,16.0,0.0
2014-02-14,24.457626221556755,27.0,29.0
2014-02-15,1.4458211096755889,0.0,43.0
2014-02-16,12.151346039636524,8.0,30.0
2014-02-17,5.38212159307393,1.0,7.0
2014-02-18,35.13196061399675,43.0,36.0
2014-02-19,34.7869863361904,43.0,81.0
2014-02-20,31.74779376258735,32.0,0.0
2014-02-21,34.09936032236004,33.0,1.0
2014-02-22,11.57516801031233,29.0,2.0
2014-02-23,52.426940555932454,91.0,62.0
2014-02-24,44.04047495246977,40.0,26.0
2014-02-25,32.300698079518945,29.0,22.0
2014-02-26,40.218041154053275,43.0,27.0
2014-02-27,24.33479200057109,22.0,0.0
2014-02-28,36.01018540240714,44.0,0.0
2014-03-01,5.8497641171604515,3.0,13.0
2014-03-02,38.5627429088089,41.0,22.0
2014-03-03,32.183395821166286,26.0,26.0
2014-03-04,24.412584073177108,20.0,33.0
2014-03-05,38.493359216650845,45.0,73.0
2014-03-06,50.50369547546418,64.0,0.0
2014-03-07,35.97564543846781,30.0,0.0
2014-03-08,2.4113654694866455,0.0,30.0
2014-03-09,22.77590386323612,25.0,46.0
2014-03-10,19.97923292215985,16.0,39.0
2014-03-11,38.830200848808005,46.0,36.0
2014-03-12,27.568099454626772,24.0,20.0
2014-03-13,22.3250146297878,18.0,0.0
2014-03-14,17.209181850202004,16.0,0.0
2014-03-15,1.3839990769348698,0.0,45.0
2014-03-16,18.35415791610944,15.0,42.0
2014-03-17,36.89353262859269,58.0,25.0
2014-03-18,28.744982058637884,20.0,22.0
2014-03-19,37.23940347429669,39.0,34.0
2014-03-20,22.707324532716274,19.0,0.0
2014-03-21,18.88343194496976,18.0,0.0
2014-03-22,2.3724968078207573,2.0,47.0
2014-03-23,26.327116336726466,25.0,28.0
2014-03-24,19.069575776554576,13.0,48.0
2014-03-25,18.733875538253983,17.0,17.0
2014-03-26,27.845094614605333,38.0,8.0
2014-03-27,43.24465653362438,49.0,0.0
2014-03-28,45.03407110736634,56.0,1.0
2014-03-29,1.4082682655175434,0.0,0.0
2014-03-30,28.14585493185187,55.0,22.0
2014-03-31,15.210663536839094,10.0,12.0
2014-04-01,8.116461964831093,5.0,62.0
