DATE,CO,NO2,O3,PM10,PM25
2023-01-01,381.7,26.8,53.2,12.0,9.0
2023-01-02,267.2,11.5,64.8,13.0,5.8
2023-01-03,458.0,35.3,61.6,11.0,8.6
2023-01-04,648.8,41.1,68.8,26.0,16.8
2023-01-05,572.5,32.8,64.4,42.0,13.0
2023-01-06,458.0,31.1,66.4,25.0,5.25
2023-01-07,687.0,35.2,68.4,21.0,15.2
2023-01-08,648.8,27.5,73.6,25.0,15.0
2023-01-09,496.2,25.2,70.4,22.0,9.4
2023-01-10,286.3,12.2,65.2,11.0,4.2
2023-01-11,496.2,26.7,71.2,9.0,6.75
2023-01-12,648.8,31.0,64.8,33.0,14.2
2023-01-13,877.8,34.9,62.4,45.0,17.0
2023-01-14,763.3,29.7,71.6,62.0,22.9
2023-01-15,229.0,10.0,72.0,9.0,7.0
2023-01-16,458.0,24.0,70.0,12.0,9.2
2023-01-17,458.0,31.2,60.8,16.0,12.0
2023-01-18,419.8,20.6,68.8,15.0,8.0
2023-01-19,534.3,26.5,60.4,22.0,12.6
2023-01-20,419.8,30.5,74.4,20.0,16.1
2023-01-21,419.8,23.8,70.0,17.0,16.0
2023-01-22,648.8,30.0,71.6,21.0,14.9
2023-01-23,992.3,43.6,74.4,27.0,18.4
2023-01-24,725.2,34.6,61.6,28.0,16.0
2023-01-25,496.2,29.0,61.6,25.0,25.0
2023-01-26,419.8,32.3,62.4,32.0,26.0
2023-01-27,458.0,23.6,69.2,19.0,18.0
2023-01-28,572.5,27.8,71.6,18.0,8.7
2023-01-29,343.5,17.7,67.2,14.0,7.0
2023-01-30,419.8,24.5,70.4,37.0,16.0
2023-01-31,343.5,23.4,66.8,29.0,16.5
2023-02-01,954.2,50.3,65.2,58.0,44.2
2023-02-02,1259.5,54.8,61.2,77.0,54.1
2023-02-03,1259.5,56.6,59.6,89.0,61.9
2023-02-04,1030.5,48.1,71.2,91.0,54.7
2023-02-05,687.0,53.6,69.2,66.0,51.9
2023-02-06,572.5,35.7,65.3,23.0,17.5
2023-02-07,1183.2,41.6,66.8,32.0,18.4
2023-02-08,839.7,35.3,71.6,35.0,26.0
2023-02-09,877.8,39.3,79.0,22.0,13.2
2023-02-10,801.5,41.3,73.2,36.0,17.4
2023-02-11,725.2,39.3,66.8,57.0,37.2
2023-02-12,763.3,48.9,83.6,73.0,45.4
2023-02-13,1106.8,53.2,78.8,61.0,39.5
2023-02-14,534.3,33.0,84.0,46.0,31.4
2023-02-15,190.8,10.3,78.0,41.0,10.0
2023-02-16,610.7,39.8,76.8,26.0,13.9
2023-02-17,801.5,42.4,75.6,93.0,15.2
2023-02-18,648.8,40.1,82.4,53.0,21.4
2023-02-19,267.2,24.4,87.6,37.0,26.9
2023-02-20,458.0,32.4,83.6,202.0,18.0
2023-02-21,381.7,31.1,62.8,61.0,16.7
2023-02-22,229.0,7.3,77.6,12.0,5.8
2023-02-23,343.5,25.8,80.8,13.0,7.8
2023-02-24,343.5,20.5,90.4,11.0,8.0
2023-02-25,458.0,24.9,86.4,19.0,12.5
2023-02-26,801.5,35.0,112.0,31.0,16.4
2023-02-27,229.0,12.1,92.8,16.0,9.0
2023-02-28,190.8,6.5,78.4,13.0,3.4
2023-03-01,229.0,10.6,86.0,15.0,9.0
2023-03-02,343.5,19.0,87.2,19.0,12.0
2023-03-03,381.7,23.8,84.4,27.0,13.0
2023-03-04,496.2,28.2,85.2,32.0,12.5
2023-03-05,267.2,10.4,97.2,18.0,13.0
2023-03-06,496.2,23.6,98.4,17.0,16.4
2023-03-07,381.7,27.8,93.6,15.3,12.8
2023-03-08,496.2,32.9,92.4,26.0,17.0
2023-03-09,458.0,28.6,89.5,28.0,16.0
2023-03-10,419.8,27.0,82.7,18.0,11.8
2023-03-11,534.3,30.3,94.8,15.7,11.25
2023-03-12,343.5,20.4,88.8,31.0,12.25
2023-03-13,687.0,25.0,80.4,28.0,20.9
2023-03-14,267.2,15.1,84.0,29.0,11.0
2023-03-15,190.8,14.6,74.0,14.0,7.0
2023-03-16,419.8,26.9,95.6,27.0,16.0
