IssuedDate,Year,Month,Day,DailyNumFines,NumPaidFines,TotalFineAmount,AvgPaidFine,MinTemp,RainPrecip,SnowPrecip,Wind,CO,CO_LEVEL,NO2,NO2_LEVEL,O3,O3_LEVEL,PM10,PM10_LEVEL,PM25,PM25_LEVEL,NA_Correction,Tues,Wed,Thurs,Fri,Sat,Sun,AQI,AQI_LEVEL
2014-01-06,2014,1,Monday,23,17.0,386,22.705882352941178,-17.6,0.0,0.0,6.8,1.8,Good,47.0,Good,0.022,Good,51.0,Good,13.7,Moderate,False,0,0,0,0,0,0,54,Moderate
2014-01-07,2014,1,Tuesday,52,46.0,1238,26.91304347826087,-11.6,0.0,0.21,5.9,1.9,Good,47.0,Good,0.007,Good,47.0,Good,21.0,Moderate,False,1,0,0,0,0,0,70,Moderate
2014-01-08,2014,1,Wednesday,13,8.0,216,27.0,-2.6,0.0,2.66,7.9,0.8,Good,48.0,Good,0.003,Good,73.0,Moderate,33.9,Moderate,False,0,1,0,0,0,0,97,Moderate
2014-01-09,2014,1,Thursday,3,3.0,350,116.66666666666669,-10.3,0.0,3.92,8.9,0.7,Good,42.0,Good,0.021,Good,30.0,Good,18.0,Moderate,False,0,0,1,0,0,0,63,Moderate
2014-01-10,2014,1,Friday,16,11.0,221,20.09090909090909,-4.1,0.0,0.91,7.0,1.0,Good,46.0,Good,0.021,Good,30.0,Good,7.9,Good,False,0,0,0,1,0,0,43,Good
2014-01-11,2014,1,Saturday,2,1.0,13,13.0,-3.5,0.2,0.0,13.2,1.0,Good,40.0,Good,0.036,Good,28.21487603305785,Good,9.1,Good,True,0,0,0,0,1,0,38,Good
2014-01-12,2014,1,Sunday,50,44.0,1607,36.52272727272727,-4.3,3.8,2.8,11.8,0.6,Good,31.0,Good,0.038,Good,28.21487603305785,Good,2.5,Good,True,0,0,0,0,0,1,35,Good
2014-01-13,2014,1,Monday,49,38.0,826,21.73684210526316,-3.0,0.0,0.42,8.3,0.5,Good,49.0,Good,0.025,Good,28.21487603305785,Good,5.4,Good,True,0,0,0,0,0,0,46,Good
2014-01-14,2014,1,Tuesday,35,31.0,580,18.70967741935484,-6.3,0.0,0.0,7.0,1.2,Good,46.0,Good,0.024,Good,28.21487603305785,Good,13.2,Moderate,True,1,0,0,0,0,0,53,Moderate
2014-01-15,2014,1,Wednesday,53,42.0,837,19.928571428571427,-9.1,0.0,0.0,6.6,1.0,Good,54.0,Moderate,0.02,Good,28.21487603305785,Good,17.7,Moderate,True,0,1,0,0,0,0,63,Moderate
2014-01-16,2014,1,Thursday,30,22.0,465,21.13636363636364,-9.7,0.0,0.0,5.4,1.0,Good,48.0,Good,0.018,Good,28.21487603305785,Good,20.5,Moderate,True,0,0,1,0,0,0,69,Moderate
2014-01-17,2014,1,Friday,67,44.0,1007,22.88636363636364,-10.1,0.0,0.0,5.2,0.9,Good,58.0,Moderate,0.016,Good,28.21487603305785,Good,24.3,Moderate,True,0,0,0,1,0,0,77,Moderate
2014-01-19,2014,1,Sunday,23,21.0,512,24.38095238095238,-11.1,0.0,0.0,6.5,0.9,Good,46.0,Good,0.024,Good,28.21487603305785,Good,23.4,Moderate,True,0,0,0,0,0,1,75,Moderate
2014-01-21,2014,1,Tuesday,32,28.0,678,24.214285714285715,-13.9,0.0,0.0,5.2,0.8,Good,81.0,Moderate,0.016,Good,28.21487603305785,Good,30.0,Moderate,True,1,0,0,0,0,0,89,Moderate
2014-01-22,2014,1,Wednesday,69,51.0,1135,22.254901960784316,-9.2,0.0,0.0,9.0,0.9,Good,88.0,Moderate,0.014,Good,28.21487603305785,Good,34.9,Moderate,True,0,1,0,0,0,0,99,Moderate
