Year,Term,Enrollment,FullTime,ClassBegins,LastDay,ExamsStart,ExamsEnd,Holidays
2014,Winter,29642,25191,2014-01-06,2014-04-15,2014-04-16,2014-04-23,2014-01-20+2014-02-17
2014,Spring,9582,4584,2014-04-29,2014-06-16,2014-06-17,2014-06-19,2014-05-26
2014,Summer,6384,5728,2014-06-23,2014-08-11,2014-08-12,2014-08-14,2014-07-04+2014-07-24
2014,Fall,29955,26216,2014-09-02,2014-12-11,2014-12-12,2014-12-19,2014-11-26/2014-11-28
2015,Winter,30775,26080,2015-01-05,2015-04-14,2015-04-15,2014-04-22,2015-01-19+2015-02-16
2015,Spring,10929,5199,2015-04-28,2015-06-15,2015-06-16,2015-06-18,2015-05-25
2015,Summer,7161,6399,2015-06-22,2015-08-10,2015-08-11,2015-08-13,2015-07-04+2015-07-24
2015,Fall,33013,29102,2015-08-31,2015-12-10,2015-12-11,2015-12-18,2015-09-07+2015-11-24/2015-11-27
2016,Winter,32989,28001,2016-01-04,2016-04-12,2016-04-13,2016-04-20,2016-01-18+2016-02-15
2016,Spring,10943,4951,2016-04-26,2016-06-13,2016-06-14,2016-06-16,2016-05-30
2016,Summer,6860,6158,2016-06-20,2016-08-08,2016-08-09,2016-08-11,2016-07-04+2016-07-24
2016,Fall,33773,2970,2016-08-29,2016-12-08,2016-12-09,2016-12-16,2016-09-05+2016-11-23/2016-11-25
2017,Winter,33275,28398,2017-01-07,2017-04-18,2017-04-19,2017-04-26,2017-01-16+2017-02-20
2017,Spring,10530,4403,2017-05-02,2017-06-19,2017-06-20,2017-04-22,2017-05-29
2017,Summer,6843,6109,2017-06-26,2017-08-14,2017-08-15,2017-08-17,2017-07-04+2017-07-24
2017,Fall,33914,29735,2017-09-05,2017-12-14,2017-12-15,2017-12-21,2017-09-05+2017-11-24/2017-11-26
2018,Winter,3347,28125,2018-01-08,2018-04-18,2018-04-19,2018-04-25,2018-01-16+2018-02-20
2018,Spring,10426,4668,2018-05-01,2018-06-18,2018-06-19,2018-06-21,2018-05-29
2018,Summer,6493,5819,2018-06-25,2018-08-13,2018-08-14,2018-08-16,2018-07-04+2018-07-24
2018,Fall,34009,29858,2018-09-04,2018-12-13,2018-12-14,2018-12-20,2018-11-21/2018-11-23
2019,Winter,32965,27979,2019-01-05,2019-04-17,2019-04-18,2019-04-24,2019-01-21+2019-02-18
2019,Spring,10228,4615,2019-04-30,2019-06-17,2019-06-18,2019-06-20,2019-05-27
2019,Summer,6250,5641,2019-06-24,2019-08-12,2019-08-13,2019-08-15,2019-07-04+2019-07-24
2019,Fall,33883,29815,2019-09-03,2019-12-12,2019-12-13,2019-12-19,2019-09-02+2019-11-27/2019-11-29
2020,Winter,33101,28191,2020-01-04,2020-04-15,2020-04-16,2020-04-22,2020-01-20+2020-02-17
2020,Spring,13067,6404,2020-04-27,2020-06-15,2020-06-16,2020-06-18,2020-05-25
2020,Summer,7277,6704,2020-06-19,2020-08-10,2020-08-11,2020-08-13,2020-07-04+2020-07-24
2020,Fall,36324,31909,2020-09-08,2020-12-10,2020-12-11,2020-12-17,2020-09-07+2020-11-25/2020-11-27
2021,Winter,35135,29755,2021-01-02,2021-04-14,2021-04-15,2021-04-21,2021-01-18+2021-02-15
2021,Spring,13330,6551,2021-04-26,2021-06-14,2021-06-15,2021-06-17,2021-05-31
2021,Summer,6820,6253,2021-06-18,2021-08-09,2021-08-10,2021-08-12,2021-07-04+2021-07-24
2021,Fall,34737,30282,2021-08-30,2021-12-09,2021-12-10,2021-12-17,2021-09-06+2021-11-24/2021-11-26
2022,Winter,33810,28618,2022-01-03,2022-04-13,2022-04-14,2022-04-20,2022-01-17+2022-02-21
2022,Spring,10235,4239,2022-04-25,2022-06-13,2022-06-14,2022-06-16,2022-05-30+2022-06-20
2022,Summer,6628,6088,2022-06-20,2022-08-09,2022-08-10,2022-08-13,2022-07-04+2022-07-25
2022,Fall,34390,30123,2022-08-29,2022-12-08,2022-12-09,2022-12-16,2022-09-05+2022-11-23/2022-11-25
