,DATE,Month,Day,NA_Correction,MaxTemp,MinTemp,MeanTemp,RainPrecip,SnowPrecip,Wind,CO,NO2,O3,PM10,PM25,CO_LEVEL,NO2_LEVEL,O3_LEVEL,PM10_LEVEL,PM25_LEVEL,AQI,AQI_LEVEL
0,2014-01-06,1,Monday,False,-3.3,-17.6,-10.5,0.0,0.0,6.8,1.8,47.0,0.022,47.0,13.7,Good,Good,Good,Good,Moderate,54,Moderate
1,2014-01-07,1,Tuesday,False,1.1,-11.6,-4.7,0.0,0.21,5.9,1.9,47.0,0.007,66.0,21.0,Good,Good,Good,Moderate,Moderate,70,Moderate
2,2014-01-08,1,Wednesday,False,0.9,-2.6,-0.5,0.0,2.66,7.9,0.8,48.0,0.003,53.0,33.9,Good,Good,Good,Good,Moderate,97,Moderate
3,2014-01-09,1,Thursday,False,0.1,-10.3,-4.4,0.0,3.92,8.9,0.7,42.0,0.021,46.0,18.0,Good,Good,Good,Good,Moderate,63,Moderate
4,2014-01-10,1,Friday,False,3.1,-4.1,-0.5,0.0,0.91,7.0,1.0,46.0,0.021,38.0,7.9,Good,Good,Good,Good,Good,43,Good
5,2014-01-11,1,Saturday,False,6.9,-3.5,2.2,0.2,0.0,13.2,1.0,40.0,0.036,51.0,9.1,Good,Good,Good,Good,Good,47,Good
6,2014-01-12,1,Sunday,False,5.5,-4.3,-0.9,3.8,2.8,11.8,0.6,31.0,0.038,21.0,2.5,Good,Good,Good,Good,Good,35,Good
7,2014-01-13,1,Monday,False,2.7,-3.0,-1.1,0.0,0.42,8.3,0.5,49.0,0.025,41.0,5.4,Good,Good,Good,Good,Good,46,Good
8,2014-01-14,1,Tuesday,False,2.9,-6.3,-2.2,0.0,0.0,7.0,1.2,46.0,0.024,62.0,13.2,Good,Good,Good,Moderate,Moderate,54,Moderate
9,2014-01-15,1,Wednesday,False,2.5,-9.1,-3.6,0.0,0.0,6.6,1.0,54.0,0.02,75.0,17.7,Good,Moderate,Good,Moderate,Moderate,63,Moderate
